Estoque inicial / atual do item D0;EST INICIAL - D0;estoque
Qtd prevista para expedição de D0;SAIDA - D0;"Sum(Separacao.qtd_saldo) if (query Separacao.cod_produto = ""Código analisado"" and Separacao.expedicao = ""D0"") + Sum(PreSeparacaoItem....."
Estoque inicial D0 - Qtd prevista para expedição de D0;EST FINAL - D0;"""EST INICIAL - D0"" - ""SAIDA - D0"""
programação de produção D0;PROG PROD - D0;"Sum(ProgramacaoProducao.qtd_programada) if (query ProgramacaoProducao.cod_produto = ""Código analisado"" and ProgramacaoProducao.data_programacao = ""D0"")"
Estoque Final D0 + programação de produção D0;EST INICIAL - D+1;"""EST FINAL - D0"" + ""PROG PROD - D0"""
Qtd prevista para expedição de D+1;SAIDA - D+1;
Estoque final D0 + programação de produção D0 - Qtd prevista para expedição de D+1;EST FINAL - D+1;
programação de produção D+1;PROG PROD - D+1;
Estoque Final D+1 + programação de produção D+1;EST INICIAL - D+2;
Qtd prevista para expedição de D+1;SAIDA - D+2;
Estoque final D+1 + programação de produção D+1 - Qtd prevista para expedição de D+2;EST FINAL - D+2;
